artist,genre,title
Real McCoy,pop,Another Night
Lifehouse,pop,Hanging By A Moment
Nickelback,pop,How You Remind Me
3 Doors Down,pop,Here Without You
No Doubt,pop,Don't Speak
Goo Goo Dolls,pop,Iris
Donna Lewis,pop,I Love You Always Forever
Maroon 5,pop,One More Night
Avicii,pop,Wake Me Up!
Ke$ha,pop,TiK ToK
Goo Goo Dolls,pop,Slide
Goo Goo Dolls,pop,Name
OneRepublic,pop,Counting Stars
Spin Doctors,pop,Two Princes
Bruno Mars,pop,Locked Out of Heaven
Savage Garden,pop,Truly Madly Deeply
3 Doors Down,pop,Kryptonite
Kelly Clarkson,pop,Since U Been Gone
Britney Spears,pop,...Baby One More Time
Kelly Clarkson,pop,Because Of You
The Black Eyed Peas,pop,Where Is The Love?
Ed Sheeran,pop,Shape Of You
Jewel,pop,You Were Meant For Me
Creed,pop,With Arms Wide Open
Bruno Mars,pop,Just The Way You Are
Florida Georgia Line,country,Cruise
Leroy Van Dyke,country,Walk On By
Hunter Hayes,country,Wanted
Sam Hunt,country,Take Your Time
Jack Greene,country,There Goes My Everything
Buck Owens,country,Love's Gonna Live Here
C.W. McCall,country,Convoy
Keith Urban,country,Somebody Like You
Lonestar,country,Amazed
Johnny Cash,country,Daddy Sang Bass
Charley Pride,country,Kiss An Angel Good Mornin'
Tim McGraw,country,Just To See You Smile
Connie Smith,country,Once A Day
Lady Antebellum,country,Need You Now
Tim McGraw,country,Live Like You Were Dying
Waylon Jennings,country,"Luckenbach, Texas (Back To The Basics Of Love)"
Mark Wills,country,19 Somethin'
Freddie Hart,country,My Hang-Up Is You
George Strait,country,Check Yes Or No
Glen Campbell,country,Rhinestone Cowboy
Toby Keith,country,How Do You Like Me Now?!
Dolly Parton,country,Here You Come Again
Rodney Atkins,country,If You're Going Through Hell (Before The Devil Even Knows)
Alan Jackson,country,Chattahoochee
The Judds,country,Have Mercy
Mary J. Blige,hip hop,Be Without You
Usher,hip hop,You Make Me Wanna...
Marvin Gaye,hip hop,Sexual Healing
Deborah Cox,hip hop,Nobody's Supposed To Be Here
Whitney Houston,hip hop,I Will Always Love You
Maxwell,hip hop,Pretty Wings
Al Green,hip hop,Let's Stay Together
The Weeknd,hip hop,The Hills
Mariah Carey,hip hop,We Belong Together
Funkadelic,hip hop,One Nation Under a Groove
Maxwell,hip hop,Fortunate
Next,hip hop,Too Close
Stevie Wonder,hip hop,That Girl
Bobby Lewis,hip hop,Tossin' And Turnin'
Mario,hip hop,Let Me Love You
TLC,hip hop,Creep
Donell Jones,hip hop,U Know What's Up
Prince,hip hop,When Doves Cry
Monica,hip hop,Angel of Mine
Karyn White,hip hop,Superwoman
The Marvelettes,hip hop,Please Mr. Postman
Keyshia Cole,hip hop,Heaven Sent
Pharrell Williams,hip hop,Happy
Ray Charles,hip hop,I Can't Stop Loving You
Robin Thicke,hip hop,Lost Without U
Led Zeppelin,rock,Stairway To Heaven
The Yesteryears,rock,Hey Jude
Lynyrd Skynyrd,rock,Sweet Home Alabama
Bruce Springsteen,rock,Born to Run
Aerosmith,rock,Dream On
Eagles,rock,Hotel California - Remastered
Queen,rock,Bohemian Rhapsody
The Who,rock,Won't Get Fooled Again
The Yesteryears,rock,Let It Be
Boston,rock,More Than a Feeling
Pink Floyd,rock,"Another Brick in the Wall, Pt. 2"
John Lennon,rock,Imagine
The Rolling Stones,rock,(I Can't Get No) Satisfaction
Queen,rock,We Will Rock You
Lynyrd Skynyrd,rock,Free Bird
Led Zeppelin,rock,Black Dog
Pink Floyd,rock,Wish You Were Here
Steve Miller,rock,The Joker
The Rolling Stones,rock,Sympathy For The Devil
AC/DC,rock,You Shook Me All Night Long
The Rolling Stones,rock,Gimme Shelter
Billy Joel,rock,Piano Man
The Doors,rock,Light My Fire
Jimmy Buffett,rock,Margaritaville
The Who,rock,Baba O'Riley
Muse,alternative,Uprising
Rise Against,alternative,Savior
Muse,alternative,Madness
Foo Fighters,alternative,The Pretender
Imagine Dragons,alternative,Radioactive
Fuel,alternative,Hemorrhage (In My Hands)
Peter Murphy,alternative,Cuts You Up
Incubus,alternative,Drive
Marcy Playground,alternative,Sex And Candy
Green Day,alternative,When I Come Around
Lit,alternative,My Own Worst Enemy
Live,alternative,Lightning Crashes
Oasis,alternative,Wonderwall
Staind,alternative,It's Been Awhile
Nirvana,alternative,Smells Like Teen Spirit
Green Day,alternative,Boulevard Of Broken Dreams
Gorillaz,alternative,Feel Good Inc
Love and Rockets,alternative,So Alive
U2,alternative,Mysterious Ways
New Order,alternative,Regret
The Black Keys,alternative,Tighten Up
Puddle Of Mudd,alternative,Blurry
Foster The People,alternative,Pumped Up Kicks
Linkin Park,alternative,In The End
Phoenix,alternative,1901
